,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6707882881164551,0.010059554979742783,0.16156477928161622,0.0014399741671640624,1,1e-05,"{'C': 1, 'gamma': 1e-05}",0.4955357142857143,0.4977578475336323,0.4977578475336323,0.4977578475336323,0.4977578475336323,0.4973134208840486,0.0008888532991671916,2
1,0.6643998622894287,0.003027886874892801,0.15995397567749023,0.0008811918378333122,1,0.0001,"{'C': 1, 'gamma': 0.0001}",0.4955357142857143,0.42152466367713004,0.4618834080717489,0.4977578475336323,0.4125560538116592,0.45785153747597696,0.03577761687180449,17
2,0.6664182186126709,0.00238785297460722,0.15892343521118163,0.003033067014078897,1,0.001,"{'C': 1, 'gamma': 0.001}",0.4955357142857143,0.4170403587443946,0.5201793721973094,0.5067264573991032,0.4349775784753363,0.47489189622037153,0.041062184889518724,11
3,0.3902064323425293,0.005027433243033997,0.09171905517578124,0.0018163082232504834,1,0.01,"{'C': 1, 'gamma': 0.01}",0.5044642857142857,0.515695067264574,0.4170403587443946,0.5291479820627802,0.4484304932735426,0.48295563741191544,0.04290695622578892,9
4,0.6619696140289306,0.0018347194587082407,0.15946612358093262,0.0009441939924703041,10,1e-05,"{'C': 10, 'gamma': 1e-05}",0.4955357142857143,0.42152466367713004,0.4618834080717489,0.4977578475336323,0.4125560538116592,0.45785153747597696,0.03577761687180449,17
5,0.6635478973388672,0.0024856101874959377,0.15816574096679686,0.002238236102125781,10,0.0001,"{'C': 10, 'gamma': 0.0001}",0.5044642857142857,0.42152466367713004,0.47085201793721976,0.5112107623318386,0.3901345291479821,0.45963725176169123,0.04707071014359051,15
6,0.5762172698974609,0.04251918180488396,0.09701170921325683,0.0034005787836476078,10,0.001,"{'C': 10, 'gamma': 0.001}",0.5625,0.49327354260089684,0.452914798206278,0.484304932735426,0.5067264573991032,0.49994394618834087,0.03594461326132169,1
7,0.3627019882202148,0.007705530594339034,0.08608245849609375,0.0018514851074866107,10,0.01,"{'C': 10, 'gamma': 0.01}",0.5,0.515695067264574,0.4170403587443946,0.5246636771300448,0.4484304932735426,0.4811659192825112,0.041527666018978386,10
8,0.660925817489624,0.0016146898394627251,0.1578596591949463,0.002357623958689024,100,1e-05,"{'C': 100, 'gamma': 1e-05}",0.5044642857142857,0.42152466367713004,0.47085201793721976,0.5112107623318386,0.3901345291479821,0.45963725176169123,0.04707071014359051,15
9,0.6724765300750732,0.007165044447988242,0.1600883960723877,0.0033490805881200326,100,0.0001,"{'C': 100, 'gamma': 0.0001}",0.5223214285714286,0.4125560538116592,0.4663677130044843,0.515695067264574,0.4260089686098655,0.46858984625240235,0.04486388234957897,12
10,0.4355504035949707,0.010523511222472078,0.0841611385345459,0.0013980119595530776,100,0.001,"{'C': 100, 'gamma': 0.001}",0.5401785714285714,0.48878923766816146,0.43946188340807174,0.4977578475336323,0.5067264573991032,0.49458279948750794,0.03258344525817168,3
11,0.35820465087890624,0.006485360144205103,0.08606467247009278,0.002491563277954763,100,0.01,"{'C': 100, 'gamma': 0.01}",0.5044642857142857,0.5201793721973094,0.42152466367713004,0.5246636771300448,0.4484304932735426,0.4838524983984625,0.04135097888546489,6
12,0.6649593353271485,0.003766647766558517,0.1576694965362549,0.0014994091812371405,1000,1e-05,"{'C': 1000, 'gamma': 1e-05}",0.5267857142857143,0.4125560538116592,0.4618834080717489,0.515695067264574,0.4260089686098655,0.4685858424087124,0.04605117625375987,13
13,0.6738044261932373,0.007258478335937037,0.1557922840118408,0.0019737493750650596,1000,0.0001,"{'C': 1000, 'gamma': 0.0001}",0.5223214285714286,0.4439461883408072,0.452914798206278,0.4349775784753363,0.4080717488789238,0.4524463484945548,0.03802436587387936,19
14,0.39685878753662107,0.007599061800978215,0.0841139793395996,0.0016148338325823654,1000,0.001,"{'C': 1000, 'gamma': 0.001}",0.53125,0.48878923766816146,0.4439461883408072,0.49327354260089684,0.5067264573991032,0.4927970852017937,0.028549444982058882,4
15,0.36366119384765627,0.005803099765081843,0.08599014282226562,0.001568909726342422,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.5044642857142857,0.5201793721973094,0.42152466367713004,0.5246636771300448,0.4484304932735426,0.4838524983984625,0.04135097888546489,6
16,0.6663968086242675,0.004290022979652174,0.15760035514831544,0.0015483639382068185,1000,1e-05,"{'C': 1000, 'gamma': 1e-05}",0.5267857142857143,0.4125560538116592,0.4618834080717489,0.515695067264574,0.4260089686098655,0.4685858424087124,0.04605117625375987,13
17,0.670729112625122,0.0018761188100087005,0.15559816360473633,0.0017103773053913733,1000,0.0001,"{'C': 1000, 'gamma': 0.0001}",0.5223214285714286,0.4439461883408072,0.452914798206278,0.4349775784753363,0.4080717488789238,0.4524463484945548,0.03802436587387936,19
18,0.3923135280609131,0.008744590116546805,0.08400397300720215,0.0026069708794206484,1000,0.001,"{'C': 1000, 'gamma': 0.001}",0.53125,0.48878923766816146,0.4439461883408072,0.49327354260089684,0.5067264573991032,0.4927970852017937,0.028549444982058882,4
19,0.35926189422607424,0.0028390266866954736,0.08674964904785157,0.003190559445510528,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.5044642857142857,0.5201793721973094,0.42152466367713004,0.5246636771300448,0.4484304932735426,0.4838524983984625,0.04135097888546489,6
